ID,Titre,Catégorie,Précisions,,,
832,Les artistes américains & le Louvre,216, 12=Broché, 13=Français, 28=Oui,
833,Les hôtels de Guénégaud et de Mongelas. Rendez-vous de chasse des Sommer au Marais,134, 6=Citadelles & Mazenod, 12=Relié, 13=Français,
3041,De terre & de feu l'aventure de la céramique européenne à Limoges,216, 12=Ouvrage  broché, 13=Français,,
5844,Catalogue d'exposition Les désastres de la guerre 1800-2014,216, 13=Français,,,
838,Paul Elie Dubois peintre du Hoggar,141, 6=Le Layeur, 12=Relié, 13=Français,
841,Pascin. Le magicien du réel,141, 6=Gallimard, 12=Relié, 13=Français,
845,Le musée du Quai Branly,143, 6=Gallimard Jeunesse, 12=Poche, 13=Français,
846,Comment parler des Arts premiers aux enfants?,149, 6=Le Baron Perché, 12=Broché, 13=Français,
847,Arts premiers le temps de la reconnaissance,149, 6=Gallimard / RMN, 12=Poche, 13=Français,
849,Cinq siècles de peinture. Le musée des Beaux-Arts de Strasbourg,146, 6=Musée de Strasbourg, 12=Broché, 13=Français,
852,Le Caravage,164, 6=Editions du  Regard, 12=Relié, 13=Français,
853,Théorie et Pratique de la peinture. Sandrart et la Teutsche Academie,137, 6=Maison des  Sciences de l'Homme, 12=Broché, 13=Français,
854,Ingres et l'Antique l'illusion grecque,125, 6=Actes Sud, 12=Relié, 13=Français,
855,Le Grand Palais regard de Jean Monneret,134, 6=RMN, 12=Relié, 13=Français,
856,Le scandale des arts premiers,149, 6=Mille et une  nuits, 12=Broché, 13=Français,
857,Cézanne - Mythe et pèlerins,125, 6=Actes Sud, 12=Broché, 13=Français,
858,Cahiers d'art. Musée Zervos à Vezelay,146, 6=Hazan, 12=Relié, 13=Français,
859,Hans Holbein the Younger : The Years in Basel 1515-1532,164, 6=Prestel Publishing, 12=Relié,,
861,Le Maître du Champion des dames,128, 6=CTHS, 12=Broché, 13=Français,
